timestamp,speed,rpm,calculated_engine_load,absolute_engine_load,relative_throttle_pos,absolute_throttle_pos,timing_advance,fuel_rail_pressure,intake_manifold_pressure,coolant_temperature,fuel_level,catalyst_temperature_bank1sensor1,catalyst_temperature_bank1sensor2,o2_bank1sensor2_voltage,o2_bank1sensor1_wr_lambda_current,short_term_fuel_trim_bank1,short_term_o2_trim_bank1
0.052146,0.0,927.0,40.3921568627451,25.88235294117647,4.705882352941177,15.294117647058824,5.5,4790.0,38,46,54.509803921568626,549.0,512.5,0.42,-0.03515625,-3.125,0.0
1.146774,0.0,941.0,40.0,25.098039215686274,4.705882352941177,15.294117647058824,6.5,4650.0,37,46,54.509803921568626,548.7,512.4,0.425,-0.0078125,-3.90625,0.0
1.487833,0.0,936.0,40.0,25.49019607843137,4.705882352941177,15.294117647058824,6.5,4610.0,38,46,54.509803921568626,548.4,512.2,0.42,0.01953125,-3.90625,0.0
1.829132,0.0,930.0,40.0,25.098039215686274,4.705882352941177,15.294117647058824,7.5,4660.0,38,46,54.11764705882353,548.4,512.2,0.42,0.01953125,-3.90625,0.0
2.168104,0.0,931.0,40.0,25.098039215686274,4.705882352941177,15.294117647058824,6.5,4700.0,38,46,54.509803921568626,548.2,512.0,0.425,0.01171875,-3.90625,0.0
2.508411,0.0,945.0,39.6078431372549,25.098039215686274,4.705882352941177,15.294117647058824,6.0,4650.0,37,46,54.11764705882353,547.9,511.9,0.425,0.0,-3.90625,0.0
2.847953,0.0,942.0,39.6078431372549,25.098039215686274,4.705882352941177,15.294117647058824,5.5,4640.0,37,46,54.509803921568626,547.6,511.70000000000005,0.425,-0.03515625,-3.90625,0.0
3.187963,0.0,946.0,39.6078431372549,25.098039215686274,4.705882352941177,15.294117647058824,6.0,4630.0,37,46,54.11764705882353,547.6,511.70000000000005,0.425,-0.03515625,-3.90625,0.0
3.528876,0.0,955.0,39.21568627450981,24.705882352941178,4.705882352941177,15.294117647058824,7.0,4640.0,37,46,54.11764705882353,547.3000000000001,511.5,0.425,-0.015625,-3.90625,0.0
3.867992,0.0,952.0,39.21568627450981,24.705882352941178,4.705882352941177,15.294117647058824,7.0,4660.0,37,47,53.333333333333336,547.0,511.4,0.425,0.01171875,-3.90625,0.0
4.208181,0.0,939.0,39.6078431372549,25.098039215686274,4.705882352941177,15.294117647058824,8.5,4570.0,37,47,53.333333333333336,547.0,511.4,0.425,0.046875,-3.90625,0.0
4.54784,0.0,931.0,40.0,25.49019607843137,4.705882352941177,15.294117647058824,5.5,4580.0,38,47,53.333333333333336,546.7,511.20000000000005,0.425,0.0625,-3.90625,0.0
4.888099,0.0,919.0,40.3921568627451,25.49019607843137,4.705882352941177,15.294117647058824,9.0,4660.0,38,47,53.333333333333336,546.4,511.0,0.425,0.02734375,-3.125,0.0
5.228807,0.0,928.0,40.78431372549019,26.274509803921568,4.705882352941177,15.686274509803921,8.0,4710.0,40,47,54.509803921568626,546.4,511.0,0.42,0.0,-3.125,0.0
5.568089,0.0,897.0,44.705882352941174,30.19607843137255,5.098039215686274,15.686274509803921,1.5,5100.0,43,47,54.11764705882353,546.1,510.9,0.425,0.0703125,-1.5625,0.0
